URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_244.html,2025.3.20250714,active,"1.2.840.10008.6.1.37",Laterality,,"Transitive closure of CID 244 Laterality","StructureDefinition/imagingstudy-lt","SCT,Other"
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_33.html,2025.3.20250714,active,"1.2.840.10008.6.1.1283",Modality,,"Transitive closure of CID 33 Modality","StructureDefinition/imagingstudy-lt,StructureDefinition/document-reference-lt","DICOM"
http://hl7.org/fhir/ValueSet/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/related-person-lt,StructureDefinition/family-member-history-lt,StructureDefinition/patient-lt,StructureDefinition/practitioner-lt","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/imagingstudy-lt,StructureDefinition/observation-lt,StructureDefinition/related-person-lt,StructureDefinition/family-member-history-lt,StructureDefinition/patient-lt,StructureDefinition/healthcare-service-lt,StructureDefinition/practitioner-lt,StructureDefinition/service-request-lt,StructureDefinition/composition-lt,StructureDefinition/diagnostic-report-lt,StructureDefinition/episode-of-care-lt,StructureDefinition/goal-lt,StructureDefinition/care-plan-lt,StructureDefinition/practitioner-role-lt,StructureDefinition/procedure-lt,StructureDefinition/document-reference-lt,StructureDefinition/encounter-lt,StructureDefinition/appointment-lt,StructureDefinition/condition-lt,StructureDefinition/care-team-lt,StructureDefinition/organization-lt,StructureDefinition/location-lt","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/appointment-cancellation-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.1381",AppointmentCancellationReason,Appointment Cancellation Reason,"This example value set defines a set of reasons for the cancellation of an appointment.","StructureDefinition/appointment-lt","THO"
http://hl7.org/fhir/ValueSet/appointment-recurrrence-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.2995",AppointmentRecurrenceType,Appointment Recurrence Type,"The recurrence type of a recurring appointment.","StructureDefinition/appointment-lt","UCUM"
http://hl7.org/fhir/ValueSet/appointmentstatus,5.0.0,draft,"2.16.840.1.113883.4.642.3.477,2.16.840.1.113883.4.642.2.284,2.16.840.1.113883.4.642.3.484",AppointmentStatus,Appointment Status,"The free/busy status of an appointment.","StructureDefinition/appointment-lt","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/body-site,5.0.0,draft,"2.16.840.1.113883.4.642.3.653,2.16.840.1.113883.4.642.2.78,2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/imagingstudy-lt,StructureDefinition/observation-lt,StructureDefinition/document-reference-lt,StructureDefinition/condition-lt,StructureDefinition/service-request-lt,StructureDefinition/procedure-lt","SCT"
http://hl7.org/fhir/ValueSet/c80-facilitycodes,5.0.0,active,"2.16.840.1.113883.3.88.12.80.67,2.16.840.1.113883.4.642.2.131",FacilityTypeCodeValueSet,Facility Type Code Value Set,"This is the code representing the type of organizational setting where the clinical encounter,    service, interaction, or treatment occurred. The value set used for Healthcare Facility    Type has been defined by HITSP to be the value set reproduced from HITSP C80 Table 2-147.","StructureDefinition/document-reference-lt","SCT"
http://hl7.org/fhir/ValueSet/c80-practice-codes,5.0.0,active,"2.16.840.1.113883.4.642.2.134,2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who    interacted with, treated, or provided a service to/for the patient. The value set used    for clinical specialty has been limited by HITSP to the value set reproduced from HITSP    C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/document-reference-lt,StructureDefinition/healthcare-service-lt,StructureDefinition/appointment-lt,StructureDefinition/practitioner-role-lt","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-performed,5.0.0,draft,"2.16.840.1.113883.4.642.3.3000",CarePlanActivityPerformed,Care Plan Activity Performed,"Example codes indicating the care plan activity that was performed. Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/care-plan-lt","SCT"
